t=2026-09-04T18:01:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-04T18:01:48+0530 lvl=info msg="using configuration at default config path" path=/home/renegader/.config/ngrok/ngrok.yml
t=2026-09-04T18:01:48+0530 lvl=info msg="open config file" path=/home/renegader/.config/ngrok/ngrok.yml err=<nil>
t=2026-09-04T18:01:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-09-04T18:01:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-09-04T18:01:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-04T18:01:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=89f3879fbcc5 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=6730fda877c1 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=72b323eab686 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=564811c78209 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=a22f052f9c61 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=05220ec4e9ba l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=ee292c8e924b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=76685100fa14 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=6a03d358086b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=840f5968257f l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=49b2ee54c455 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=073a735ff757 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=ec5d49c7e424 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=24f82436f402 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=09047ddb526f l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=a508778ada6b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=97c8bf3533cf l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=75e1657186c1 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=09a6f8140f9e l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=3ecc9e508b19 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=a45595a41d4b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=a0c26a41f84d l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=0ce5eb6dc1a4 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=09efd27c14af l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=5d603d0a0d5d l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=32152b154948 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=fb7e39758335 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=35574e61a52f l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=4cbee6fd96de l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=51986241d7a9 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=0a8cb67c1562 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:36+0530 lvl=info msg="join connections" obj=join id=fdfddc9040fc l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=150117292a0b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=2392d6ff1145 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=184936fd4f3a l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=34f85b5f8132 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=3e3abf0ee1e0 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=3cf62829b30a l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=a6c672dbdf60 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=3994c600c7e6 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=b4dd6ac5632f l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=6b17badac3ae l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=fce1a2e55dc3 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:37+0530 lvl=info msg="join connections" obj=join id=3a49e40dcd84 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
